elapsed_time,sender,receiver,length
52.443764209747314,172.19.0.2,172.19.0.9,66
52.4476215839386,172.19.0.2,172.19.0.9,2009
52.44841957092285,172.19.0.9,172.19.0.2,66
52.44915461540222,172.19.0.9,172.19.0.2,66
52.44988965988159,172.19.0.2,172.19.0.9,66
52.45062804222107,172.19.0.9,172.19.0.2,66
52.4513783454895,172.19.0.9,172.19.0.7,74
52.45211434364319,172.19.0.7,172.19.0.9,74
52.45285701751709,172.19.0.9,172.19.0.7,66
52.45361423492432,172.19.0.9,172.19.0.7,310
52.45430636405945,172.19.0.7,172.19.0.9,66
52.4557044506073,172.19.0.9,172.19.0.7,318
52.45641803741455,172.19.0.7,172.19.0.9,66
52.45742416381836,172.19.0.7,172.19.0.9,320
52.45811200141907,172.19.0.9,172.19.0.7,66
52.4589192867279,172.19.0.7,172.19.0.4,264
52.45979142189026,172.19.0.4,172.19.0.1,264
52.46050643920898,172.19.0.1,172.19.0.4,66
52.46123600006104,172.19.0.4,172.19.0.7,70
52.46199035644531,172.19.0.7,172.19.0.4,66
52.4627377986908,172.19.0.9,172.19.0.7,66
52.46347284317017,172.19.0.7,172.19.0.9,66
52.46423292160034,172.19.0.9,172.19.0.7,66
52.46511483192444,172.19.0.1,172.19.0.4,268
52.46593403816223,172.19.0.4,172.19.0.7,262
52.46668529510498,172.19.0.7,172.19.0.4,66
52.46745944023132,172.19.0.4,172.19.0.1,70
52.46819019317627,172.19.0.9,172.19.0.1,197
52.46890187263489,172.19.0.1,172.19.0.9,66
52.46993589401245,172.19.0.9,172.19.0.1,137
52.47065496444702,172.19.0.1,172.19.0.9,66
52.47141146659851,172.19.0.1,172.19.0.9,66
52.47219395637512,172.19.0.9,172.19.0.1,66
52.47288751602173,172.19.0.1,172.19.0.9,66
52.47362661361694,172.19.0.7,172.19.0.9,74
52.47444224357605,172.19.0.9,172.19.0.7,74
52.47517943382263,172.19.0.7,172.19.0.9,66
52.47592329978943,172.19.0.7,172.19.0.9,297
52.476645708084106,172.19.0.9,172.19.0.7,66
52.47799682617187,172.19.0.7,172.19.0.9,312
52.47871685028076,172.19.0.9,172.19.0.7,66
52.68904638290405,172.19.0.9,172.17.0.1,74
52.69319128990173,172.17.0.1,172.19.0.9,74
52.69694328308105,172.19.0.9,172.17.0.1,66
52.69990277290344,172.19.0.9,172.17.0.1,304
52.70217633247376,172.17.0.1,172.19.0.9,66
52.70515298843384,172.19.0.9,172.17.0.1,312
52.70641922950745,172.17.0.1,172.19.0.9,66
52.707396268844604,172.19.0.1,172.19.0.4,66
52.70828199386597,172.17.0.1,172.19.0.9,195
52.70907497406006,172.19.0.9,172.17.0.1,66
52.71003460884094,172.17.0.1,172.19.0.9,70
52.71074175834656,172.19.0.9,172.17.0.1,66
52.71152424812317,172.17.0.1,172.19.0.9,195
52.71223187446594,172.19.0.9,172.17.0.1,66
52.71312403678894,172.17.0.1,172.19.0.9,70
52.71390271186829,172.19.0.9,172.17.0.1,66
52.71463298797608,172.19.0.9,172.17.0.1,66
52.715362787246704,172.17.0.1,172.19.0.9,66
52.716105461120605,172.19.0.9,172.17.0.1,66
52.71683168411255,172.19.0.9,172.19.0.7,195
52.71752548217773,172.19.0.7,172.19.0.9,66
52.718475580215454,172.19.0.9,172.19.0.7,70
52.71919822692871,172.19.0.7,172.19.0.9,66
52.71991395950317,172.19.0.9,172.17.0.1,66
52.72065711021423,172.17.0.1,172.19.0.9,66
52.72141456604004,172.19.0.9,172.17.0.1,66
52.72215819358826,172.19.0.7,172.19.0.9,66
52.7228741645813,172.19.0.9,172.19.0.7,195
52.723631143569946,172.19.0.7,172.19.0.9,66
