Timestamp(ms),Current(uA),D0-D7
9712.8,12741.645,00000000
9712.9,12741.238,00000000
9713,12733.539,00000000
9713.1,12753.075,00000000
9713.2,12732.822,00000000
9713.3,12713.894,00000000
9713.4,12755.078,00000000
9713.5,12746.834,00000000
9713.6,12823.437,00000000
9713.7,12847.425,00000000
9713.8,12784.329,00000000
9713.9,12716.688,00000000
9714,12740.122,00000000
9714.1,12712.517,00000000
9714.2,12762.668,00000000
9714.3,12758.586,00000000
9714.4,12801.720,00000000
9714.5,12784.015,00000000
9714.6,12776.184,00000000
9714.7,12790.551,00000000
9714.8,12775.814,00000000
9714.9,12774.581,00000000
9715,12799.366,00000000
9715.1,12746.060,00000000
9715.2,12772.456,00000000
9715.3,12756.836,00000000
9715.4,12764.508,00000000
9715.5,12726.044,00000000
9715.6,12750.302,00000000
9715.7,12748.350,00000000
9715.8,12783.610,00000000
9715.9,12742.045,00000000
9716,12712.009,00000000
9716.1,12722.920,00000000
9716.2,12748.389,00000000
9716.3,12791.953,00000000
9716.4,12727.847,00000000
9716.5,12734.999,00000000
9716.6,12761.247,00000000
9716.7,12771.407,00000000
9716.8,12745.879,00000000
9716.9,12788.100,00000000
9717,12771.438,00000000
9717.1,12736.451,00000000
9717.2,12755.946,00000000
9717.3,12793.381,00000000
9717.4,12738.200,00000000
9717.5,12731.857,00000000
9717.6,12736.219,00000000
9717.7,12728.936,00000000
9717.8,12724.455,00000000
9717.9,12789.018,00000000
9718,12763.737,00000000
9718.1,12721.271,00000000
9718.2,12733.769,00000000
9718.3,12767.211,00000000
9718.4,12741.410,00000000
9718.5,12763.775,00000000
9718.6,12736.607,00000000
9718.7,12732.385,00000000
9718.8,12682.905,00000000
9718.9,12758.774,00000000
9719,12724.427,00000000
9719.1,12754.483,00000000
9719.2,12797.990,00000000
9719.3,12733.186,00000000
9719.4,12724.604,00000000
9719.5,12722.246,00000000
9719.6,12747.171,00000000
9719.7,12793.209,00000000
9719.8,12804.253,00000000
9719.9,12768.540,00000000
9720,12751.605,00000000
9720.1,12750.867,00000000
9720.2,12767.993,00000000
9720.3,12754.076,00000000
9720.4,12731.246,00000000
9720.5,12777.198,00000000
9720.6,12760.331,00000000
9720.7,12807.371,00000000
9720.8,12779.491,00000000
9720.9,12767.403,00000000
9721,12723.079,00000000
9721.1,12784.100,00000000
9721.2,12776.855,00000000
9721.3,12708.041,00000000
9721.4,12763.824,00000000
9721.5,12744.676,00000000
9721.6,12780.599,00000000
9721.7,12751.357,00000000
9721.8,12789.194,00000000
9721.9,12776.678,00000000
9722,12749.712,00000000
9722.1,12758.447,00000000
9722.2,12776.530,00000000
9722.3,12792.799,00000000
9722.4,12769.601,00000000
9722.5,12762.196,00000000
9722.6,12769.735,00000000
9722.7,12735.281,00000000
9722.8,12742.585,00000000
9722.9,12755.553,00000000
9723,12755.164,00000000
9723.1,12770.661,00000000
9723.2,12764.188,00000000
9723.3,12738.960,00000000
9723.4,12733.756,00000000
9723.5,12768.470,00000000
9723.6,12766.425,00000000
9723.7,12754.509,00000000
9723.8,12784.949,00000000
9723.9,12757.145,00000000
9724,12752.007,00000000
9724.1,12806.854,00000000
9724.2,12744.831,00000000
9724.3,12767.569,00000000
9724.4,12787.022,00000000
9724.5,12756.676,00000000
9724.6,12760.418,00000000
9724.7,12762.139,00000000
9724.8,12743.811,00000000
9724.9,12789.332,00000000
9725,12782.605,00000000
9725.1,12777.677,00000000
9725.2,12748.596,00000000
9725.3,12778.511,00000000
9725.4,12716.670,00000000
9725.5,12733.331,00000000
9725.6,12769.079,00000000
9725.7,12737.661,00000000
9725.8,12769.660,00000000
9725.9,12760.788,00000000
9726,12779.165,00000000
9726.1,12791.748,00000000
9726.2,12762.217,00000000
9726.3,12769.792,00000000
9726.4,12745.432,00000000
9726.5,12753.593,00000000
9726.6,12775.049,00000000
9726.7,12770.157,00000000
9726.8,12790.127,00000000
9726.9,12734.458,00000000
9727,12775.939,00000000
9727.1,12761.407,00000000
9727.2,12761.629,00000000
9727.3,12754.404,00000000
9727.4,12819.619,00000000
9727.5,12762.862,00000000
9727.6,12765.765,00000000
9727.7,12776.320,00000000
9727.8,12747.547,00000000
9727.9,12767.004,00000000
9728,12765.859,00000000
9728.1,12738.933,00000000
9728.2,12785.283,00000000
9728.3,12805.664,00000000
9728.4,12763.146,00000000
9728.5,12785.806,00000000
9728.6,12728.852,00000000
9728.7,12763.787,00000000
9728.8,12748.787,00000000
9728.9,12755.861,00000000
9729,12748.990,00000000
9729.1,12778.786,00000000
9729.2,12803.141,00000000
9729.3,12823.138,00000000
9729.4,12793.572,00000000
9729.5,12748.413,00000000
9729.6,12759.204,00000000
9729.7,12770.813,00000000
9729.8,12720.199,00000000
9729.9,12767.085,00000000
9730,12789.459,00000000
9730.1,12767.051,00000000
9730.2,12720.479,00000000
9730.3,12743.692,00000000
9730.4,12758.259,00000000
9730.5,12735.121,00000000
9730.6,12741.979,00000000
9730.7,12781.417,00000000
9730.8,12743.978,00000000
9730.9,12801.645,00000000
9731,12801.450,00000000
9731.1,12757.779,00000000
9731.2,12727.565,00000000
9731.3,12787.369,00000000
9731.4,12730.794,00000000
9731.5,12775.983,00000000
9731.6,12773.349,00000000
9731.7,12751.275,00000000
9731.8,12744.418,00000000
9731.9,12767.241,00000000
9732,12731.145,00000000
9732.1,12772.369,00000000
9732.2,12789.641,00000000
9732.3,12775.694,00000000
9732.4,12768.124,00000000
9732.5,12773.325,00000000
9732.6,12774.467,00000000
9732.7,12760.545,00000000
9732.8,12685.450,00000000
9732.9,12715.155,00000000
9733,12713.193,00000000
9733.1,12729.250,00000000
9733.2,12737.673,00000000
9733.3,12733.720,00000000
9733.4,12753.681,00000000
9733.5,12807.816,00000000
9733.6,12717.145,00000000
9733.7,12782.534,00000000
9733.8,12825.212,00000000
9733.9,12777.315,00000000
9734,12738.792,00000000
9734.1,12708.761,00000000
9734.2,12725.209,00000000
9734.3,12676.288,00000000
9734.4,12709.829,00000000
9734.5,12717.875,00000000
9734.6,12656.794,00000000
9734.7,12745.078,00000000
9734.8,12721.318,00000000
9734.9,12735.555,00000000
9735,12721.341,00000000
9735.1,12744.271,00000000
9735.2,12743.825,00000000
9735.3,12759.631,00000000
9735.4,12762.338,00000000
9735.5,12736.229,00000000
9735.6,12713.942,00000000
9735.7,12714.323,00000000
9735.8,12732.953,00000000
9735.9,12743.938,00000000
9736,12751.308,00000000
9736.1,12757.813,00000000
9736.2,12703.140,00000000
9736.3,12764.709,00000000
9736.4,12730.605,00000000
9736.5,12725.554,00000000
