Timestamp(ms),Current(uA),D0-D7
38960.9,43258.531,00000000
38961,43251.441,00000000
38961.1,43256.383,00000000
38961.2,43200.895,00000000
38961.3,43242.281,00000000
38961.4,43246.875,00000000
38961.5,43246.898,00000000
38961.6,43249.598,00000000
38961.7,43226.129,00000000
38961.8,43286.594,00000000
38961.9,43240.922,00000000
38962,43254.691,00000000
38962.1,43280.844,00000000
38962.2,43226.070,00000000
38962.3,43234.598,00000000
38962.4,43246.801,00000000
38962.5,43242.836,00000000
38962.6,43214.738,00000000
38962.7,43203.387,00000000
38962.8,43180.320,00000000
38962.9,43188.465,00000000
38963,43171.102,00000000
38963.1,43222.887,00000000
38963.2,43167.766,00000000
38963.3,43196.508,00000000
38963.4,43244.281,00000000
38963.5,43208.082,00000000
38963.6,43194.926,00000000
38963.7,43196.277,00000000
38963.8,45150.664,00000000
38963.9,43750.883,00000000
38964,43439.766,00000000
38964.1,43284.379,00000000
38964.2,43190.617,00000000
38964.3,43164.770,00000000
38964.4,43244.004,00000000
38964.5,43224.000,00000000
38964.6,43182.391,00000000
38964.7,43192.246,00000000
38964.8,43219.262,00000000
38964.9,43225.609,00000000
38965,43214.547,00000000
38965.1,43223.328,00000000
38965.2,43198.934,00000000
38965.3,43223.527,00000000
38965.4,43175.727,00000000
38965.5,43167.609,00000000
38965.6,43237.031,00000000
38965.7,43213.145,00000000
38965.8,43240.465,00000000
38965.9,43206.219,00000000
38966,43169.188,00000000
38966.1,43195.656,00000000
38966.2,43206.211,00000000
38966.3,43209.219,00000000
38966.4,43158.371,00000000
38966.5,43197.457,00000000
38966.6,43179.227,00000000
38966.7,43141.563,00000000
38966.8,43167.477,00000000
38966.9,43201.938,00000000
38967,43203.598,00000000
38967.1,43243.762,00000000
38967.2,43217.563,00000000
38967.3,43177.758,00000000
38967.4,43243.590,00000000
38967.5,43264.242,00000000
38967.6,43259.918,00000000
38967.7,43210.484,00000000
38967.8,43269.914,00000000
38967.9,43215.117,00000000
38968,43248.277,00000000
38968.1,43293.715,00000000
38968.2,43243.695,00000000
38968.3,43280.668,00000000
38968.4,43246.234,00000000
38968.5,43238.625,00000000
38968.6,43251.039,00000000
38968.7,43311.719,00000000
38968.8,43300.508,00000000
38968.9,43282.707,00000000
38969,43336.867,00000000
38969.1,43326.609,00000000
38969.2,43326.664,00000000
38969.3,43316.438,00000000
38969.4,45036.410,00000000
38969.5,44033.461,00000000
38969.6,43627.219,00000000
38969.7,43489.680,00000000
38969.8,43473.637,00000000
38969.9,43429.566,00000000
38970,43475.770,00000000
38970.1,43450.941,00000000
38970.2,43503.563,00000000
38970.3,43548.895,00000000
38970.4,43521.441,00000000
38970.5,43513.555,00000000
38970.6,43484.457,00000000
38970.7,43529.797,00000000
38970.8,43550.664,00000000
38970.9,43582.129,00000000
38971,43611.898,00000000
38971.1,43605.020,00000000
38971.2,43621.703,00000000
38971.3,43596.891,00000000
38971.4,43566.070,00000000
38971.5,43637.188,00000000
38971.6,43655.215,00000000
38971.7,43660.516,00000000
38971.8,43662.828,00000000
38971.9,43658.035,00000000
38972,43736.801,00000000
38972.1,43754.164,00000000
38972.2,43763.836,00000000
38972.3,43768.242,00000000
38972.4,43811.309,00000000
38972.5,43806.379,00000000
38972.6,43817.438,00000000
38972.7,43809.117,00000000
38972.8,43849.539,00000000
38972.9,43815.668,00000000
38973,43831.441,00000000
38973.1,43889.645,00000000
38973.2,43834.465,00000000
38973.3,43884.109,00000000
38973.4,43902.273,00000000
38973.5,43877.719,00000000
38973.6,43836.852,00000000
38973.7,43893.078,00000000
38973.8,45775.020,00000000
38973.9,44373.223,00000000
38974,44108.027,00000000
38974.1,43961.559,00000000
38974.2,43968.582,00000000
38974.3,43912.133,00000000
38974.4,43965.367,00000000
38974.5,43944.359,00000000
38974.6,43956.250,00000000
38974.7,43962.828,00000000
38974.8,43911.031,00000000
38974.9,43942.395,00000000
38975,43954.785,00000000
38975.1,43973.500,00000000
38975.2,43987.406,00000000
38975.3,43945.336,00000000
38975.4,43980.125,00000000
38975.5,43981.395,00000000
38975.6,43976.223,00000000
38975.7,43958.379,00000000
38975.8,43974.305,00000000
38975.9,44006.012,00000000
38976,43949.137,00000000
38976.1,43966.586,00000000
38976.2,43927.648,00000000
38976.3,43907.617,00000000
38976.4,43891.758,00000000
38976.5,43902.844,00000000
38976.6,43896.008,00000000
38976.7,43836.652,00000000
38976.8,43787.219,00000000
38976.9,43844.992,00000000
38977,43849.270,00000000
38977.1,43800.660,00000000
38977.2,43794.152,00000000
38977.3,43811.113,00000000
38977.4,43749.871,00000000
38977.5,43730.816,00000000
38977.6,43767.496,00000000
38977.7,43772.141,00000000
38977.8,43687.953,00000000
38977.9,43727.555,00000000
38978,43671.711,00000000
38978.1,43675.855,00000000
38978.2,43678.219,00000000
38978.3,43600.223,00000000
38978.4,43549.730,00000000
38978.5,43565.211,00000000
38978.6,43584.738,00000000
38978.7,43549.871,00000000
38978.8,43561.305,00000000
38978.9,43520.605,00000000
38979,43507.508,00000000
38979.1,43470.828,00000000
38979.2,43498.754,00000000
38979.3,43439.766,00000000
38979.4,45106.582,00000000
38979.5,44085.246,00000000
38979.6,43688.188,00000000
38979.7,43495.266,00000000
38979.8,43386.289,00000000
38979.9,43336.781,00000000
38980,43354.000,00000000
38980.1,43326.406,00000000
38980.2,43381.207,00000000
38980.3,43336.082,00000000
38980.4,43319.598,00000000
38980.5,43289.980,00000000
38980.6,43283.313,00000000
38980.7,43216.699,00000000
38980.8,43312.379,00000000
38980.9,43264.520,00000000
38981,43262.422,00000000
38981.1,43167.582,00000000
38981.2,43190.734,00000000
38981.3,43235.367,00000000
38981.4,43250.629,00000000
38981.5,43219.996,00000000
38981.6,43244.156,00000000
